"id","category","label","text"
17,"deep_learning","Deep learning","This paper investigates graph neural networks. Building on knowledge distillation, we quantify training throughput and find that the method learns transferable features across tasks. Our findings inform recommendation systems."
18,"genomics","Genomics and molecular biology","We revisit gene regulatory networks through the lens of lineage tracing. Studying mutational burden, we show that the approach identifies previously uncharacterized cell states, which is relevant for immunotherapy design. We further discuss cell-type identity and its connection to epigenetic modifications."
19,"cosmology","Cosmology and astrophysics","This paper investigates gravitational lensing. Building on weak-lensing tomography, we quantify the Hubble constant and find that the method reveals a mild tension with local measurements. Our findings inform dark-sector physics."
20,"number_theory","Number theory and combinatorics","Motivated by open questions in additive combinatorics, we apply the circle method to characterize special L-values. The results show that our method proves a conjecture in a wide range of cases, advancing computational number theory."
21,"number_theory","Number theory and combinatorics","Understanding the distribution of prime numbers remains challenging. Using algebraic geometry techniques, we analyse prime gaps and observe that the model establishes an asymptotic formula under mild hypotheses, motivating further work in computational number theory. We further discuss additive energy and its connection to modular forms."
22,"climate","Climate and atmospheric science","Motivated by open questions in greenhouse-gas forcing, we apply reanalysis data assimilation to characterize the hydrological cycle. The results show that our method indicates an accelerating warming trend, advancing flood-risk assessment. We further discuss radiative forcing and its connection to the global carbon cycle."
23,"number_theory","Number theory and combinatorics","This paper investigates sieve methods. Building on algebraic geometry techniques, we quantify prime gaps and find that the method improves the best known bound. Our findings inform cryptographic hardness."
24,"climate","Climate and atmospheric science","We present a framework for studying land-surface feedbacks based on downscaling techniques. Focusing on the hydrological cycle, we demonstrate that it highlights nonlinear feedback processes, with applications to flood-risk assessment. We further discuss climate sensitivity and its connection to atmospheric aerosols."
25,"epidemiology","Epidemiology and public health","We study health inequalities using instrumental-variable estimation. We measure case-fatality ratios and show that our approach quantifies the impact of policy changes on outcomes. These results have implications for outbreak response."
26,"number_theory","Number theory and combinatorics","We study additive combinatorics using algebraic geometry techniques. We measure additive energy and show that our approach reveals an unexpected connection to modular forms. These results have implications for arithmetic statistics. We further discuss the rank of the group and its connection to elliptic curves over number fields."
27,"condensed_matter","Condensed matter and quantum materials","We present a framework for studying the fractional quantum Hall effect based on transport measurements. Focusing on the electronic band structure, we demonstrate that it supports a nontrivial band topology, with applications to low-power electronics."
28,"deep_learning","Deep learning","We revisit convolutional models through the lens of data augmentation. Studying representation quality, we show that the approach narrows the gap to fully supervised models, which is relevant for recommendation systems. We further discuss generalization gap and its connection to generative diffusion models."
29,"number_theory","Number theory and combinatorics","Motivated by open questions in additive combinatorics, we apply spectral methods to characterize rational points. The results show that our method proves a conjecture in a wide range of cases, advancing cryptographic hardness."
30,"genomics","Genomics and molecular biology","We study CRISPR perturbation screens using mass spectrometry. We measure regulatory element activity and show that our approach links regulatory variants to disease risk. These results have implications for rare-disease diagnosis."
31,"deep_learning","Deep learning","We present a framework for studying generative diffusion models based on knowledge distillation. Focusing on calibration error, we demonstrate that it reduces the number of labelled examples required, with applications to tabular prediction."
32,"climate","Climate and atmospheric science","Understanding atmospheric aerosols remains challenging. Using detection-and-attribution analysis, we analyse surface temperature trends and observe that the model indicates an accelerating warming trend, motivating further work in flood-risk assessment."
33,"condensed_matter","Condensed matter and quantum materials","We revisit topological insulators through the lens of the tensor-network renormalization group. Studying quasiparticle interference, we show that the approach hosts robust topologically protected edge states, which is relevant for low-power electronics."
34,"genomics","Genomics and molecular biology","Motivated by open questions in protein-coding variants, we apply spatial transcriptomics to characterize mutational burden. The results show that our method links regulatory variants to disease risk, advancing precision oncology. We further discuss mutational burden and its connection to CRISPR perturbation screens."
35,"condensed_matter","Condensed matter and quantum materials","We study quantum spin liquids using density functional theory. We measure quasiparticle interference and show that our approach reveals an unconventional pairing symmetry. These results have implications for energy-efficient materials."
36,"condensed_matter","Condensed matter and quantum materials","This paper investigates high-temperature superconductors. Building on neutron scattering, we quantify spin correlations and find that the method hosts robust topologically protected edge states. Our findings inform spintronic devices. We further discuss quasiparticle interference and its connection to correlated electron systems."
37,"cosmology","Cosmology and astrophysics","We present a framework for studying the expansion history based on cross-correlation analysis. Focusing on the dark energy equation of state, we demonstrate that it favours a nearly scale-invariant spectrum, with applications to tests of general relativity. We further discuss the Hubble constant and its connection to large-scale structure formation."
38,"epidemiology","Epidemiology and public health","Understanding population screening programmes remains challenging. Using Bayesian hierarchical models, we analyse the basic reproduction number and observe that the model reveals persistent socioeconomic disparities, motivating further work in resource allocation. We further discuss years of life lost and its connection to the burden of chronic disease."
39,"genomics","Genomics and molecular biology","Understanding single-cell transcriptomes remains challenging. Using variant calling pipelines, we analyse allele-specific expression and observe that the model uncovers coordinated transcriptional programmes, motivating further work in precision oncology. We further discuss cell-type identity and its connection to RNA splicing patterns."
40,"epidemiology","Epidemiology and public health","We study maternal health outcomes using propensity-score matching. We measure incidence rates and show that our approach quantifies the impact of policy changes on outcomes. These results have implications for resource allocation."
41,"cosmology","Cosmology and astrophysics","Motivated by open questions in type Ia supernovae, we apply cross-correlation analysis to characterize primordial non-Gaussianity. The results show that our method favours a nearly scale-invariant spectrum, advancing tests of general relativity."
42,"deep_learning","Deep learning","Understanding recurrent sequence models remains challenging. Using data augmentation, we analyse representation quality and observe that the model improves robustness to distribution shift, motivating further work in image recognition."
43,"epidemiology","Epidemiology and public health","Understanding antimicrobial resistance remains challenging. Using difference-in-differences designs, we analyse years of life lost and observe that the model reveals persistent socioeconomic disparities, motivating further work in outbreak response. We further discuss the cost-effectiveness ratio and its connection to population screening programmes."
44,"cryptography","Cryptography and security","Understanding blockchain consensus protocols remains challenging. Using formal protocol verification, we analyse the security parameter and observe that the model resists known quantum and classical attacks, motivating further work in privacy-preserving analytics. We further discuss proof size and its connection to lattice-based signatures."
45,"genomics","Genomics and molecular biology","We revisit chromatin accessibility through the lens of spatial transcriptomics. Studying pathway enrichment, we show that the approach resolves heterogeneity within tumour samples, which is relevant for immunotherapy design. We further discuss cell-type identity and its connection to epigenetic modifications."
46,"condensed_matter","Condensed matter and quantum materials","Understanding correlated electron systems remains challenging. Using transport measurements, we analyse the superconducting gap and observe that the model exhibits emergent fractionalized excitations, motivating further work in energy-efficient materials. We further discuss the Berry curvature and its connection to moire superlattices."
47,"cosmology","Cosmology and astrophysics","We revisit baryon acoustic oscillations through the lens of weak-lensing tomography. Studying cluster mass functions, we show that the approach favours a nearly scale-invariant spectrum, which is relevant for dark-sector physics."
48,"number_theory","Number theory and combinatorics","We revisit additive combinatorics through the lens of the circle method. Studying additive energy, we show that the approach proves a conjecture in a wide range of cases, which is relevant for arithmetic statistics."
49,"climate","Climate and atmospheric science","We revisit Arctic sea-ice decline through the lens of coupled climate model ensembles. Studying radiative forcing, we show that the approach reveals strong regional heterogeneity, which is relevant for climate adaptation planning."
50,"genomics","Genomics and molecular biology","This paper investigates RNA splicing patterns. Building on differential expression analysis, we quantify allele-specific expression and find that the method resolves heterogeneity within tumour samples. Our findings inform precision oncology."
51,"genomics","Genomics and molecular biology","Motivated by open questions in RNA splicing patterns, we apply spatial transcriptomics to characterize regulatory element activity. The results show that our method links regulatory variants to disease risk, advancing immunotherapy design. We further discuss regulatory element activity and its connection to gene regulatory networks."
52,"deep_learning","Deep learning","We present a framework for studying graph neural networks based on parameter-efficient adapters. Focusing on calibration error, we demonstrate that it reduces the number of labelled examples required, with applications to tabular prediction."
53,"epidemiology","Epidemiology and public health","Motivated by open questions in mental-health service use, we apply propensity-score matching to characterize the basic reproduction number. The results show that our method supports the cost-effectiveness of early screening, advancing health-policy evaluation. We further discuss healthcare utilization and its connection to vaccine effectiveness."
54,"cryptography","Cryptography and security","We study zero-knowledge proof systems using differential power analysis. We measure the soundness error and show that our approach reduces communication overhead substantially. These results have implications for digital identity."
55,"cosmology","Cosmology and astrophysics","Understanding galaxy clustering remains challenging. Using spectroscopic surveys, we analyse the matter power spectrum and observe that the model tightens constraints on cosmological parameters, motivating further work in next-generation redshift surveys."
56,"cosmology","Cosmology and astrophysics","This paper investigates dark matter halos. Building on spectroscopic surveys, we quantify primordial non-Gaussianity and find that the method constrains the sum of neutrino masses. Our findings inform tests of general relativity."
57,"number_theory","Number theory and combinatorics","We revisit modular forms through the lens of the circle method. Studying prime gaps, we show that the approach establishes an asymptotic formula under mild hypotheses, which is relevant for coding theory. We further discuss class numbers and its connection to sieve methods."
58,"deep_learning","Deep learning","This paper investigates attention mechanisms. Building on mixed-precision training, we quantify training throughput and find that the method improves robustness to distribution shift. Our findings inform autonomous perception."
59,"climate","Climate and atmospheric science","Motivated by open questions in regional precipitation extremes, we apply reanalysis data assimilation to characterize radiative forcing. The results show that our method highlights nonlinear feedback processes, advancing flood-risk assessment. We further discuss climate sensitivity and its connection to Arctic sea-ice decline."
60,"climate","Climate and atmospheric science","We revisit Arctic sea-ice decline through the lens of detection-and-attribution analysis. Studying radiative forcing, we show that the approach reduces uncertainty in projected sea-level rise, which is relevant for seasonal forecasting. We further discuss the hydrological cycle and its connection to greenhouse-gas forcing."
61,"climate","Climate and atmospheric science","Motivated by open questions in the global carbon cycle, we apply downscaling techniques to characterize radiative forcing. The results show that our method reduces uncertainty in projected sea-level rise, advancing flood-risk assessment."
62,"condensed_matter","Condensed matter and quantum materials","We study topological insulators using density functional theory. We measure spin correlations and show that our approach reveals an unconventional pairing symmetry. These results have implications for low-power electronics."
63,"number_theory","Number theory and combinatorics","We present a framework for studying elliptic curves over number fields based on Galois representations. Focusing on the rank of the group, we demonstrate that it improves the best known bound, with applications to coding theory. We further discuss class numbers and its connection to Diophantine equations."
64,"number_theory","Number theory and combinatorics","We study random matrix analogies using analytic estimates. We measure class numbers and show that our approach proves a conjecture in a wide range of cases. These results have implications for arithmetic statistics. We further discuss rational points and its connection to the distribution of prime numbers."
65,"number_theory","Number theory and combinatorics","Understanding Diophantine equations remains challenging. Using analytic estimates, we analyse class numbers and observe that the model establishes an asymptotic formula under mild hypotheses, motivating further work in coding theory. We further discuss prime gaps and its connection to Diophantine equations."
66,"cryptography","Cryptography and security","This paper investigates blockchain consensus protocols. Building on provable-security proofs, we quantify the soundness error and find that the method resists known quantum and classical attacks. Our findings inform privacy-preserving analytics."
67,"climate","Climate and atmospheric science","We study greenhouse-gas forcing using downscaling techniques. We measure extreme-event frequency and show that our approach highlights nonlinear feedback processes. These results have implications for climate adaptation planning."
68,"number_theory","Number theory and combinatorics","We present a framework for studying Diophantine equations based on the large sieve. Focusing on the rank of the group, we demonstrate that it proves a conjecture in a wide range of cases, with applications to computational number theory."
69,"condensed_matter","Condensed matter and quantum materials","This paper investigates topological insulators. Building on quantum Monte Carlo, we quantify quasiparticle interference and find that the method supports a nontrivial band topology. Our findings inform spintronic devices. We further discuss the electronic band structure and its connection to quantum spin liquids."
70,"condensed_matter","Condensed matter and quantum materials","We revisit magnetic skyrmions through the lens of density functional theory. Studying the Berry curvature, we show that the approach reveals an unconventional pairing symmetry, which is relevant for energy-efficient materials."
71,"cosmology","Cosmology and astrophysics","Understanding large-scale structure formation remains challenging. Using spectroscopic surveys, we analyse the dark energy equation of state and observe that the model favours a nearly scale-invariant spectrum, motivating further work in dark-sector physics. We further discuss primordial non-Gaussianity and its connection to galaxy clustering."
72,"condensed_matter","Condensed matter and quantum materials","This paper investigates magnetic skyrmions. Building on quantum Monte Carlo, we quantify quasiparticle interference and find that the method displays a tunable metal-insulator transition. Our findings inform low-power electronics. We further discuss the electronic band structure and its connection to the fractional quantum Hall effect."
73,"number_theory","Number theory and combinatorics","We present a framework for studying the distribution of prime numbers based on the large sieve. Focusing on class numbers, we demonstrate that it improves the best known bound, with applications to arithmetic statistics. We further discuss class numbers and its connection to random matrix analogies."
74,"deep_learning","Deep learning","We revisit recurrent sequence models through the lens of curriculum learning. Studying generalization gap, we show that the approach narrows the gap to fully supervised models, which is relevant for image recognition."
75,"cosmology","Cosmology and astrophysics","We study baryon acoustic oscillations using weak-lensing tomography. We measure primordial non-Gaussianity and show that our approach constrains the sum of neutrino masses. These results have implications for cosmological forecasting."
76,"cryptography","Cryptography and security","This paper investigates lattice-based signatures. Building on formal protocol verification, we quantify the soundness error and find that the method closes a previously overlooked side channel. Our findings inform privacy-preserving analytics."
77,"cosmology","Cosmology and astrophysics","This paper investigates baryon acoustic oscillations. Building on cross-correlation analysis, we quantify the dark energy equation of state and find that the method is consistent with the LambdaCDM concordance model. Our findings inform cosmological forecasting. We further discuss the growth rate of structure and its connection to large-scale structure formation."
78,"epidemiology","Epidemiology and public health","This paper investigates health inequalities. Building on difference-in-differences designs, we quantify healthcare utilization and find that the method estimates substantial averted mortality from intervention. Our findings inform health-policy evaluation. We further discuss the basic reproduction number and its connection to maternal health outcomes."
79,"climate","Climate and atmospheric science","We study atmospheric aerosols using satellite remote sensing. We measure sea-level rise and show that our approach reduces uncertainty in projected sea-level rise. These results have implications for carbon-budget accounting. We further discuss sea-level rise and its connection to ocean heat uptake."
80,"genomics","Genomics and molecular biology","This paper investigates the tumour microenvironment. Building on mass spectrometry, we quantify regulatory element activity and find that the method implicates specific pathways in progression. Our findings inform precision oncology. We further discuss pathway enrichment and its connection to gene regulatory networks."
81,"cryptography","Cryptography and security","Understanding post-quantum key exchange remains challenging. Using the random-oracle model, we analyse ciphertext expansion and observe that the model improves the efficiency of the verifier, motivating further work in financial infrastructure. We further discuss ciphertext expansion and its connection to secure multiparty computation."
82,"cosmology","Cosmology and astrophysics","We revisit the expansion history through the lens of photometric redshift estimation. Studying the dark energy equation of state, we show that the approach constrains the sum of neutrino masses, which is relevant for cosmological forecasting. We further discuss the growth rate of structure and its connection to galaxy clustering."
83,"genomics","Genomics and molecular biology","We present a framework for studying epigenetic modifications based on differential expression analysis. Focusing on regulatory element activity, we demonstrate that it resolves heterogeneity within tumour samples, with applications to immunotherapy design."
84,"condensed_matter","Condensed matter and quantum materials","We revisit quantum spin liquids through the lens of the tensor-network renormalization group. Studying spin correlations, we show that the approach reveals an unconventional pairing symmetry, which is relevant for quantum computing platforms."
85,"climate","Climate and atmospheric science","Understanding the global carbon cycle remains challenging. Using reanalysis data assimilation, we analyse climate sensitivity and observe that the model reveals strong regional heterogeneity, motivating further work in climate adaptation planning."
86,"cosmology","Cosmology and astrophysics","We present a framework for studying large-scale structure formation based on weak-lensing tomography. Focusing on the growth rate of structure, we demonstrate that it favours a nearly scale-invariant spectrum, with applications to dark-sector physics. We further discuss the dark energy equation of state and its connection to large-scale structure formation."
87,"cosmology","Cosmology and astrophysics","Motivated by open questions in the cosmic microwave background, we apply weak-lensing tomography to characterize primordial non-Gaussianity. The results show that our method favours a nearly scale-invariant spectrum, advancing next-generation redshift surveys."
88,"cryptography","Cryptography and security","We present a framework for studying lattice-based signatures based on differential power analysis. Focusing on the soundness error, we demonstrate that it closes a previously overlooked side channel, with applications to digital identity. We further discuss key-exchange latency and its connection to lattice-based signatures."
89,"cryptography","Cryptography and security","This paper investigates side-channel attacks. Building on reductions to hard lattice problems, we quantify the soundness error and find that the method closes a previously overlooked side channel. Our findings inform secure messaging."
90,"condensed_matter","Condensed matter and quantum materials","Understanding moire superlattices remains challenging. Using quantum Monte Carlo, we analyse the superconducting gap and observe that the model displays a tunable metal-insulator transition, motivating further work in energy-efficient materials."
91,"cryptography","Cryptography and security","We present a framework for studying secure multiparty computation based on reductions to hard lattice problems. Focusing on the attack surface, we demonstrate that it reduces communication overhead substantially, with applications to privacy-preserving analytics. We further discuss the attack surface and its connection to side-channel attacks."
92,"number_theory","Number theory and combinatorics","This paper investigates modular forms. Building on spectral methods, we quantify the rank of the group and find that the method resolves a special case of a long-standing problem. Our findings inform computational number theory."
93,"climate","Climate and atmospheric science","We revisit land-surface feedbacks through the lens of detection-and-attribution analysis. Studying radiative forcing, we show that the approach attributes recent extremes to anthropogenic forcing, which is relevant for climate adaptation planning. We further discuss the hydrological cycle and its connection to the monsoon system."
94,"epidemiology","Epidemiology and public health","We revisit maternal health outcomes through the lens of instrumental-variable estimation. Studying case-fatality ratios, we show that the approach supports the cost-effectiveness of early screening, which is relevant for equity-focused screening."
95,"number_theory","Number theory and combinatorics","We revisit random matrix analogies through the lens of algebraic geometry techniques. Studying special L-values, we show that the approach improves the best known bound, which is relevant for arithmetic statistics."
96,"cryptography","Cryptography and security","Motivated by open questions in secure multiparty computation, we apply reductions to hard lattice problems to characterize key-exchange latency. The results show that our method reduces communication overhead substantially, advancing privacy-preserving analytics."
97,"number_theory","Number theory and combinatorics","We present a framework for studying sieve methods based on algebraic geometry techniques. Focusing on class numbers, we demonstrate that it reveals an unexpected connection to modular forms, with applications to coding theory."
98,"cosmology","Cosmology and astrophysics","We study the cosmic microwave background using cross-correlation analysis. We measure the Hubble constant and show that our approach favours a nearly scale-invariant spectrum. These results have implications for cosmological forecasting."
99,"number_theory","Number theory and combinatorics","We revisit random matrix analogies through the lens of the large sieve. Studying prime gaps, we show that the approach reveals an unexpected connection to modular forms, which is relevant for computational number theory."
100,"epidemiology","Epidemiology and public health","Motivated by open questions in the burden of chronic disease, we apply difference-in-differences designs to characterize years of life lost. The results show that our method supports the cost-effectiveness of early screening, advancing resource allocation. We further discuss the basic reproduction number and its connection to health inequalities."
101,"deep_learning","Deep learning","We revisit convolutional models through the lens of parameter-efficient adapters. Studying classification accuracy, we show that the approach improves robustness to distribution shift, which is relevant for recommendation systems."
102,"cryptography","Cryptography and security","Motivated by open questions in post-quantum key exchange, we apply reductions to hard lattice problems to characterize key-exchange latency. The results show that our method resists known quantum and classical attacks, advancing secure messaging."
103,"climate","Climate and atmospheric science","Understanding regional precipitation extremes remains challenging. Using paleoclimate proxy reconstruction, we analyse surface temperature trends and observe that the model reveals strong regional heterogeneity, motivating further work in carbon-budget accounting. We further discuss the hydrological cycle and its connection to the global carbon cycle."
104,"epidemiology","Epidemiology and public health","Motivated by open questions in the burden of chronic disease, we apply Bayesian hierarchical models to characterize incidence rates. The results show that our method estimates substantial averted mortality from intervention, advancing outbreak response. We further discuss the cost-effectiveness ratio and its connection to population screening programmes."
105,"climate","Climate and atmospheric science","Motivated by open questions in the monsoon system, we apply coupled climate model ensembles to characterize the hydrological cycle. The results show that our method highlights nonlinear feedback processes, advancing flood-risk assessment."
106,"genomics","Genomics and molecular biology","This paper investigates epigenetic modifications. Building on mass spectrometry, we quantify regulatory element activity and find that the method uncovers coordinated transcriptional programmes. Our findings inform rare-disease diagnosis."
107,"epidemiology","Epidemiology and public health","We study population screening programmes using propensity-score matching. We measure case-fatality ratios and show that our approach quantifies the impact of policy changes on outcomes. These results have implications for health-policy evaluation."
108,"epidemiology","Epidemiology and public health","Motivated by open questions in antimicrobial resistance, we apply Bayesian hierarchical models to characterize case-fatality ratios. The results show that our method identifies groups at elevated risk, advancing health-policy evaluation. We further discuss case-fatality ratios and its connection to antimicrobial resistance."
109,"cryptography","Cryptography and security","We present a framework for studying authenticated encryption based on the random-oracle model. Focusing on key-exchange latency, we demonstrate that it achieves provable security under standard assumptions, with applications to privacy-preserving analytics. We further discuss proof size and its connection to zero-knowledge proof systems."
110,"cosmology","Cosmology and astrophysics","We revisit large-scale structure formation through the lens of weak-lensing tomography. Studying primordial non-Gaussianity, we show that the approach reveals a mild tension with local measurements, which is relevant for dark-sector physics. We further discuss the Hubble constant and its connection to gravitational lensing."
111,"condensed_matter","Condensed matter and quantum materials","Understanding the fractional quantum Hall effect remains challenging. Using neutron scattering, we analyse the superconducting gap and observe that the model exhibits emergent fractionalized excitations, motivating further work in low-power electronics."
112,"number_theory","Number theory and combinatorics","This paper investigates additive combinatorics. Building on probabilistic combinatorics, we quantify the rank of the group and find that the method resolves a special case of a long-standing problem. Our findings inform arithmetic statistics. We further discuss prime gaps and its connection to additive combinatorics."
113,"deep_learning","Deep learning","This paper investigates transformer architectures. Building on curriculum learning, we quantify calibration error and find that the method improves robustness to distribution shift. Our findings inform speech processing."
114,"epidemiology","Epidemiology and public health","We present a framework for studying antimicrobial resistance based on cohort studies. Focusing on the basic reproduction number, we demonstrate that it estimates substantial averted mortality from intervention, with applications to equity-focused screening."
115,"number_theory","Number theory and combinatorics","Understanding sieve methods remains challenging. Using the large sieve, we analyse additive energy and observe that the model reveals an unexpected connection to modular forms, motivating further work in coding theory. We further discuss special L-values and its connection to elliptic curves over number fields."
116,"genomics","Genomics and molecular biology","This paper investigates CRISPR perturbation screens. Building on high-throughput sequencing, we quantify clonal architecture and find that the method links regulatory variants to disease risk. Our findings inform precision oncology."
117,"epidemiology","Epidemiology and public health","We revisit vaccine effectiveness through the lens of instrumental-variable estimation. Studying case-fatality ratios, we show that the approach supports the cost-effectiveness of early screening, which is relevant for outbreak response."
118,"climate","Climate and atmospheric science","We revisit the monsoon system through the lens of coupled climate model ensembles. Studying surface temperature trends, we show that the approach indicates an accelerating warming trend, which is relevant for climate adaptation planning. We further discuss radiative forcing and its connection to the monsoon system."
119,"genomics","Genomics and molecular biology","We present a framework for studying epigenetic modifications based on differential expression analysis. Focusing on clonal architecture, we demonstrate that it links regulatory variants to disease risk, with applications to precision oncology. We further discuss regulatory element activity and its connection to CRISPR perturbation screens."
120,"epidemiology","Epidemiology and public health","This paper investigates infectious-disease transmission. Building on compartmental transmission models, we quantify case-fatality ratios and find that the method reveals persistent socioeconomic disparities. Our findings inform resource allocation."
121,"condensed_matter","Condensed matter and quantum materials","Understanding moire superlattices remains challenging. Using neutron scattering, we analyse quasiparticle interference and observe that the model supports a nontrivial band topology, motivating further work in quantum computing platforms. We further discuss quasiparticle interference and its connection to moire superlattices."
122,"climate","Climate and atmospheric science","We revisit the global carbon cycle through the lens of satellite remote sensing. Studying radiative forcing, we show that the approach reduces uncertainty in projected sea-level rise, which is relevant for carbon-budget accounting."
123,"deep_learning","Deep learning","We study recurrent sequence models using stochastic gradient descent. We measure generalization gap and show that our approach narrows the gap to fully supervised models. These results have implications for autonomous perception."
124,"cosmology","Cosmology and astrophysics","This paper investigates the cosmic microwave background. Building on Markov chain Monte Carlo sampling, we quantify the dark energy equation of state and find that the method reveals a mild tension with local measurements. Our findings inform tests of general relativity."
125,"epidemiology","Epidemiology and public health","Motivated by open questions in population screening programmes, we apply compartmental transmission models to characterize incidence rates. The results show that our method estimates substantial averted mortality from intervention, advancing resource allocation."
126,"cosmology","Cosmology and astrophysics","We revisit the cosmic microwave background through the lens of Bayesian parameter inference. Studying the dark energy equation of state, we show that the approach reveals a mild tension with local measurements, which is relevant for next-generation redshift surveys."
127,"condensed_matter","Condensed matter and quantum materials","This paper investigates magnetic skyrmions. Building on neutron scattering, we quantify the electronic band structure and find that the method hosts robust topologically protected edge states. Our findings inform low-power electronics."
128,"cosmology","Cosmology and astrophysics","We study baryon acoustic oscillations using cross-correlation analysis. We measure cluster mass functions and show that our approach favours a nearly scale-invariant spectrum. These results have implications for dark-sector physics."
129,"deep_learning","Deep learning","Motivated by open questions in attention mechanisms, we apply curriculum learning to characterize classification accuracy. The results show that our method narrows the gap to fully supervised models, advancing tabular prediction."
130,"condensed_matter","Condensed matter and quantum materials","We present a framework for studying quantum spin liquids based on transport measurements. Focusing on the Berry curvature, we demonstrate that it supports a nontrivial band topology, with applications to low-power electronics."
131,"number_theory","Number theory and combinatorics","Motivated by open questions in L-functions, we apply spectral methods to characterize prime gaps. The results show that our method reveals an unexpected connection to modular forms, advancing cryptographic hardness."
132,"condensed_matter","Condensed matter and quantum materials","Motivated by open questions in quantum spin liquids, we apply density functional theory to characterize the Berry curvature. The results show that our method reveals an unconventional pairing symmetry, advancing low-power electronics. We further discuss the phase diagram and its connection to high-temperature superconductors."
133,"number_theory","Number theory and combinatorics","We present a framework for studying elliptic curves over number fields based on the circle method. Focusing on special L-values, we demonstrate that it improves the best known bound, with applications to cryptographic hardness."
134,"condensed_matter","Condensed matter and quantum materials","Motivated by open questions in topological insulators, we apply angle-resolved photoemission spectroscopy to characterize spin correlations. The results show that our method hosts robust topologically protected edge states, advancing quantum computing platforms."
135,"condensed_matter","Condensed matter and quantum materials","Understanding correlated electron systems remains challenging. Using angle-resolved photoemission spectroscopy, we analyse the phase diagram and observe that the model hosts robust topologically protected edge states, motivating further work in quantum computing platforms."
136,"epidemiology","Epidemiology and public health","We study maternal health outcomes using difference-in-differences designs. We measure the cost-effectiveness ratio and show that our approach identifies groups at elevated risk. These results have implications for equity-focused screening."
137,"climate","Climate and atmospheric science","We revisit the global carbon cycle through the lens of coupled climate model ensembles. Studying radiative forcing, we show that the approach reduces uncertainty in projected sea-level rise, which is relevant for seasonal forecasting."
